pos_id,pos_name,salary,org_id,place_id
1072,視覺設計師,"25,000 / 月",689,2
1073,中專,"600,000 / 年",690,1
1074,工程師,"45,000 / 月",691,6
1075,生產技術╱製程工程師,"110,000 / 月",692,2
1076,專案工程師,"43,000 / 月",693,1
1077,測試工程師,"35,000 / 月",694,4
1078,資訊助理人員,"38,000 / 月",695,6
1079,安衛管理師,"33,000 / 月",696,8
1080,金融理財專員,"22,000 / 月",697,3
1081,儀電技術工程師,"52,000 / 月",698,5
1082,業務工程師,"39,800 / 月",699,5
1083,工程師,"520,000 / 年",700,5
1084,副工程師,"30,000 / 月",701,8
1085,品管╱檢驗人員,"30,000 / 月",702,10
1086,助理,"27,800 / 月",703,6
1087,資深工程師,"50,000 / 月",704,5
1088,機構工程師,"28,000 / 月",705,6
1089,拉麵店服務員,"36,000 / 月",706,1
1090,顧問,"55,000 / 月",707,15
1091,助教輔導老師,120 / 小時,708,2
1092,服務員,"27,000 / 月",709,2
1093,門市人員,"33,000 / 月",709,6
1094,船務,"22,000 / 月",710,16
1095,業務助理,"28,000 / 月",711,8
1096,資深營業,"45,000 / 月",712,1
1097,行政老師,"30,000 / 月",713,1
1098,維護人員,"60,000 / 月",714,5
1099,實習,160 / 小時,715,1
1100,設備工程師,"38,000 / 月",716,8
1101,軟體工程師,"38,000 / 月",716,8
1102,薄膜製程工程師,"52,200 / 月",717,15
1103,薄膜製程工程師,"52,200 / 月",718,15
1104,材料研發人員,"40,000 / 月",719,8
1105,PM,"40,000 / 月",720,8
1106,兼職收銀員,196 / 小時,721,4
1107,通訊軟體工程師,"60,000 / 月",722,15
1108,製程工程師,"60,000 / 月",723,8
1109,門市專員,"26,000 / 月",724,1
1110,行政秘書,"28,000 / 月",725,1
1111,設計工程師,"560,000 / 年",726,6
1112,研發專案管理師,"54,000 / 月",727,1
1113,國內業務人員,"30,000 / 月",728,1
1114,軟體工程師,"32,000 / 月",729,1
1115,業務工程師,"55,000 / 月",730,2
1116,活動企劃,"26,000 / 月",731,1
1117,專員,"32,000 / 月",732,1
1118,編輯,"32,500 / 月",733,1
1119,系統櫃組裝,"22,000 / 月",734,8
1120,硬體研發工程師,"45,000 / 月",735,1
1121,軟體工程師,"45,000 / 月",736,1
1122,國外業務專員,"47,000 / 月",737,6
1123,國內業務人員,"30,000 / 月",738,2
1124,國內業務主管,"30,000 / 月",738,6
1125,西餐廚師,"373,000 / 年",739,5
1126,門市PT,163 / 小時,740,6
1127,機器視覺工程師,"48,000 / 月",741,15
1128,檢驗員,"23,000 / 月",742,5
1129,高級工程師,"60,000 / 月",743,4
1130,統計諮詢,500 / 小時,744,1
1131,員工,"30,000 / 月",745,17
1132,店員,"23,800 / 月",746,6
1133,業務專員,"500,000 / 年",747,1
1134,SENIOR ENGINEER,"840,000 / 年",748,6
1135,軟體工程師,"58,000 / 月",748,6
1136,行政人員,"32,000 / 月",749,1
1137,研究助理,"50,000 / 月",750,11
1138,新產品開發品質工程工程師,"50,000 / 月",751,6
1139,業務工程師,"42,000 / 月",752,1
1140,演算法工程師,"900,000 / 年",752,1
1141,硬體研發工程師,"48,000 / 月",752,1
1142,工業設計,"23,000 / 月",753,4
1143,教師,"85,000 / 月",754,22
1144,BIOS工程師,"47,000 / 月",755,6
1145,科技中心助理,"32,470 / 月",756,15
1146,資深產品行銷專員,"50,000 / 月",757,6
1147,營業,"25,000 / 月",758,5
1148,組長,"35,650 / 月",759,14
1149,外派人力資源（越南）,"950,000 / 年",759,2
1150,採購人員,"40,000 / 月",759,14
1151,產品維修人員,"396,875 / 年",760,6
1152,門市人員,"28,000 / 月",761,5
1153,店員,"22,000 / 月",761,2
1154,揀貨員（派遣）,150 / 小時,761,5
1155,檢驗員,"28,000 / 月",762,2
1156,行銷企劃,"34,000 / 月",763,1
1157,機構工程師,"38,000 / 月",764,1
1158,業務助理,"33,000 / 月",765,1
1159,財務分析╱財務人員,"32,000 / 月",765,4
1160,專員,"22,000 / 月",765,4
1161,統計專員,"38,000 / 月",766,1
1162,機構工程師,"800,000 / 年",767,1
1163,行政助理,160 / 小時,768,5
1164,牙助,"28,000 / 月",769,5
1165,品管工程師,"36,000 / 月",770,10
1166,侍應,218 / 小時,771,6
1167,主任工程師,"48,000 / 月",772,2
1168,電信╱通訊系統工程師,"48,500 / 月",773,1
1169,生產技術╱製程工程師,"50,000 / 月",774,4
1170,研發工程師,"53,000 / 月",775,15
1171,業務,"40,000 / 月",776,4
1172,裝機工程師,"90,000 / 月",777,4
1173,技術工程師,"38,000 / 月",778,8
1174,專員,"50,000 / 月",779,1
1175,機構工程師,"35,000 / 月",780,6
1176,化妝品研發,"31,000 / 月",781,2
1177,銷售專員,"35,000 / 月",782,1
1178,客服工程師,"720,000 / 年",783,2
1179,行政總務助理,"22,000 / 月",784,1
1180,審計員,"40,000 / 月",785,5
1181,生產設備工程師,"35,000 / 月",786,5
1182,助教,133 / 小時,787,10
1183,專案經理,"100,000 / 月",788,15
1184,ARM,"38,000 / 月",789,1
1185,電信╱通訊系統工程師,"38,000 / 月",790,10
1186,櫃台經辦,"30,000 / 月",791,4
1187,博士後研究員,"66,000 / 月",792,1
1188,類比IC設計工程師,"22,000 / 月",793,10
1189,軟體工程師,"600,000 / 年",794,1
1190,韌體工程師,"76,000 / 月",795,15
1191,類比IC設計工程師,"1,250,000 / 年",795,15
1192,專案管理工程師,"100,000 / 月",796,11
1193,高櫃櫃員,"40,000 / 月",797,1
1194,審計員,"36,000 / 月",798,1
1195,軟體工程師,"44,000 / 月",799,6
1196,導師,"32,000 / 月",800,14
1197,技術員,"32,000 / 月",801,4
